20230103	19:20:29	38c0c58c-ce60-482c-9cfc-7ef6c52e47da	/new-page.html	GET
20230103	19:20:29	7a5fef3a-601a-40a0-8b10-b132cb36adcd	/css/style.css	GET
20230103	19:20:29	378c6a77-245d-413a-9ff0-442f747c2f09	/img/img1.jpg	GET
20230103	19:20:29	884af87f-4472-454b-ba79-4a08646971ff	/favicon.ico	GET
20230103	19:21:20	d6d3fd22-24b0-4970-aacd-f28aa9608f31	/new-page.html	GET
20230104	11:31:30	494cfb94-825d-48d8-b311-f349647a53de	GET	undefined	/
20230104	11:31:30	600d3d6c-d626-4004-be1e-6dcb1ba4a5c8	GET	undefined	/css/style.css
20230104	12:45:01	f0a5deb1-c43c-4d7d-b56f-d5d7c2e522b0	GET	undefined	/css/style.css
20230104	12:45:28	ec97a981-cb8b-4747-a854-050a4c051970	GET	undefined	/
20230104	12:46:48	a5f38a88-fc7b-4b9f-9110-9931c87a6e2f	OPTIONS	https://www.google.com	/
20230104	12:46:48	08f8e70f-a6b3-4338-9463-0196775b6e4b	GET	https://www.google.com	/
20230104	12:47:10	4c1c2afa-d50b-44df-a780-b8a38931f35c	OPTIONS	https://www.google.com	/
20230104	12:47:10	33f03d0e-f8d9-4312-b54d-bde6c0a2328e	GET	https://www.google.com	/
20230104	12:47:17	7084608e-2119-4ae8-9e37-c8493b013bed	OPTIONS	https://www.google.com	/
20230104	12:47:17	8b7a5c9d-6786-49f6-8baa-2f624b185d61	GET	https://www.google.com	/
20230104	12:48:04	7d258e4a-06cc-45ea-94c7-480e05d497a9	OPTIONS	https://www.google.com	/
20230104	12:48:04	de5ee5f2-4ce9-4db1-8edd-9f77b5c2a682	GET	https://www.google.com	/
20230104	12:54:05	fce4a13c-f5ee-49e3-91ac-872e914c80f3	OPTIONS	https://www.google.com	/
20230104	12:54:05	9a2952f2-4c3b-4cbe-a51b-8c6051f4afbe	GET	https://www.google.com	/
20230104	12:57:17	571d51ab-3b66-4af6-81d3-973ea2a54f8a	GET	undefined	/
20230104	13:01:12	d0e762e1-bf9f-4c9c-9ffc-c3096094e610	GET	undefined	/
20230104	13:01:12	92c0c46e-0cfc-4204-92d4-c05fb33550af	GET	undefined	/css/style.css
20230104	13:01:27	05c7c8a9-1ef2-4364-93a3-282aa3e4f89c	GET	undefined	/
20230104	13:59:48	69b36dff-3a4e-4916-8705-c0611ad5e33e	GET	undefined	/subdir/test.html
20230104	13:59:48	6376fb60-5a36-4f4f-b88e-7109877a7a38	GET	undefined	/subdir/css/style.css
20230104	13:59:57	93178ad1-40c8-45a3-9bc0-4bb89cef3fde	GET	undefined	/subdir/test.html
20230104	14:00:05	93f20d1c-71b7-451d-b430-45f8d2042acc	GET	undefined	/subdir/index.html
20230104	14:00:15	13ae9c1e-a6e7-4330-97b3-e4aa7a97e611	GET	undefined	/subdir/insx
20230104	14:00:15	e1bf949c-a0b1-4575-bc04-bb14b52564d1	GET	undefined	/subdir/css/style.css
20230104	14:02:38	2fbc1c1b-1a52-4637-9a0e-4a992049cb90	GET	undefined	/subdir/insx
20230104	14:02:38	e885c8d5-1d12-4288-9379-6537f0b38cce	GET	undefined	/subdir/css/style.css
20230104	14:07:46	107b6bb6-2c35-4b00-ac58-9b517708dc6c	GET	undefined	/
20230104	14:07:47	f99244f4-1ab5-4703-9812-ac46942f0d3b	GET	undefined	/css/style.css
20230104	14:07:54	6f933fb5-e621-4bbb-972d-78a156ae1868	GET	undefined	/new-page
20230104	14:07:54	cb966675-a5fa-40ec-8c32-d1eab9564410	GET	undefined	/css/style.css
20230104	14:07:54	381c3bdd-b7f1-41d9-8848-a3342c330278	GET	undefined	/img/img1.jpg
20230104	17:18:35	43a5a189-efa9-4c14-a27c-0793359d1034	GET	undefined	/employees
20230104	17:21:38	74ba8273-a55d-4327-abd9-078b5a48556e	GET	undefined	/employees
20230104	17:22:37	12407340-3535-4613-b058-277ff35b420e	POST	undefined	/employees
20230104	17:22:46	79f24de7-aeb8-4d16-82f9-39d43800f5a3	PUT	undefined	/employees
20230104	17:22:57	8d4f1aa8-008a-49c1-aa8b-f26248c5a3f4	DELETE	undefined	/employees/2
20230104	17:23:31	cbda7842-259b-4e4e-8f33-1f72c74e428a	GET	undefined	/employees/2
20230104	22:24:25	8143aa42-3b80-45de-8cc5-e0b6522d4421	GET	undefined	/employees/
20230104	22:24:39	1bf38d05-6635-447c-9ba6-717059bd0f27	POST	undefined	/employees/
20230104	22:25:12	0cfc57fb-f86a-47cf-9326-94506647a7d5	PUT	undefined	/employees/
20230104	22:25:28	faf4a1c2-c06f-4b43-b1db-f892d9dbe032	PUT	undefined	/employees/
20230104	22:25:46	f6339c19-4fa7-4e87-ae5a-4654f6775b70	DELETE	undefined	/employees/
20230104	22:25:49	13c7aaec-fbc7-4425-9505-b2f58df50671	DELETE	undefined	/employees/
20230104	22:25:57	8b4c3382-de58-486a-83a6-8b411cf8ad4f	GET	undefined	/employees/2
20230104	22:45:13	1ceae790-24ba-4164-938a-4585e8789f41	POST	undefined	/register
20230104	22:46:07	647bffe6-be1d-4821-9cec-d1ba92b9f576	POST	undefined	/register
20230104	22:46:28	f9e457f6-c9ee-4e06-b315-a40cf4452fb8	POST	undefined	/register
20230104	22:46:40	3ed05ee3-bb08-44b3-b1a9-852688aead27	POST	undefined	/register
20230104	22:47:05	7ca79745-8706-4bd5-ba7f-f5b1e0e3e27a	POST	undefined	/register
20230105	15:09:30	95520e79-6d3d-4629-b275-20aa0e7876af	POST	undefined	/register
20230105	15:09:37	102198e2-2a83-42df-be4c-c56a115c75b0	POST	undefined	/auth
20230105	15:09:43	09503177-dfd4-42c9-bbaa-93e91539688c	POST	undefined	/auth
20230105	15:10:32	fe2ef2df-39a3-4800-9c09-b0d08cc0e730	POST	undefined	/auth
